AnalysisName,OriginalName,Age,Uncertainty,Reference,Mineral,Method,RockType,Lithology,Unit,Group,Easting,Northing,Datum,DataComment,locationEstimated,uncertaintyEstimated,year,lat,long,easting_quartile,northing_quartile,square
Lea12-8S27,8S27,117.4,2.0,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,243835.0,4155037.0,NAD27 11S,,False,False,2012,37.50675380725898,-119.89805809087221,0,1,2
Lea12-8S05,8S05,117.4,1.9,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,251617.0,4104006.0,NAD27 11S,,False,False,2012,37.04943800695769,-119.79307460895531,0,0,1
Lea12-8S16,8S16,117.4,1.8,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,granodiorite,Arch Rock granodiorite,Fine Gold Intrusive Suite,272918.0,4129586.0,NAD27 11S,,False,False,2012,37.28518662511927,-119.56153957393623,1,0,5
Lea12-8S36,8S36,117.9,2.5,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,263539.0,4162339.0,NAD27 11S,,False,False,2012,37.57775677668296,-119.6777258804211,0,1,2
Lea12-8S02,8S02,118.0,1.6,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,gabbro,central gabbro phase of Academy pluton,Fine Gold Intrusive Suite,276793.0,4086871.0,NAD27 11S,,False,False,2012,36.90144985087966,-119.5051640173436,1,0,5
Lea12-8S34,8S34,118.4,1.3,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,granodiorite,Arch Rock granodiorite,Fine Gold Intrusive Suite,265153.0,4146984.0,NAD27 11S,,False,False,2012,37.43991439159408,-119.65456274484355,0,1,2
Lea12-8S20,8S20,118.6,1.8,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,253591.0,4124943.0,NAD27 11S,,False,False,2012,37.23846707438233,-119.7777910312463,0,0,1
Lea12-8S33,8S33,119.7,2.1,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,259493.0,4153795.0,NAD27 11S,,False,False,2012,37.49978376481891,-119.72069797553397,0,1,2
Lea12-8S26,8S26,120.9,1.9,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,239561.0,4146942.0,NAD27 11S,,False,False,2012,37.4326886558514,-119.94349172427414,0,1,2
Lea12-8S24,8S24,121.1,1.8,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,236519.0,4132830.0,NAD27 11S,,False,False,2012,37.30479605897658,-119.9728093572993,0,0,1
Lea12-11SN32,11SN32,123.9,1.5,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,trondhjemite,Ward Mountain pluton,Fine Gold Intrusive Suite,257863.0,4117049.0,NAD27 11S,,False,False,2012,37.16851004556759,-119.72712223347024,0,0,1
Mea03-KMR,KMR,94.0,5.0,"Mahan et al., 2003",Zircon,TIMS multigrain fraction,Plutonic,quartz monzodiorite,central McDoogle phase,John Muir Intrusive Suite,378930.0,4082453.0,NAD27 11S,"No error given, assume 5% uncertainty",False,True,2003,36.88027924529477,-118.35854000438259,3,0,13
Mea03-KM-11b,KM-11b,94.8,0.6,"Mahan et al., 2003",Zircon,TIMS multigrain fraction,Plutonic,quartz monzodiorite,marginal McDoogle phase,John Muir Intrusive Suite,380250.0,4082753.0,NAD27 11S,,False,False,2003,36.88315127162772,-118.34377923970668,3,0,13
